Period,Track Title,Total Revenue,Artist Revenue
2023-09,Shootout (8D Version),395.30 USD,158.12 USD
2023-09,Shootout (Slowed + Reverb),6082.02 USD,2432.81 USD
2023-09,Shootout (Sped Up),3700.60 USD,1480.24 USD
2023-09,Transcend,47.27 USD,18.91 USD
2023-09,Turanım,365.07 USD,146.03 USD
2023-09,Turanım (Slowed + Reverb),44.87 USD,17.95 USD
2023-09,Turanım (Sped Up),21.20 USD,8.48 USD
2023-09,Una Mattina,8.38 USD,3.35 USD
2023-09,snowfall,28.26 USD,11.31 USD
2023-10,,0.75 USD,0.30 USD
2023-10,American Beauty,15.08 USD,6.03 USD
2023-10,Je te laisserai des mots (Piano Cover),58.01 USD,23.20 USD
2023-10,Say Yes To Heaven x Shootout,703.47 USD,281.39 USD
2023-10,Say Yes To Heaven x Shootout (Slowed + Reverb),416.60 USD,166.64 USD
2023-10,Say Yes To Heaven x Shootout (Sped Up),23.88 USD,9.55 USD
2023-10,September,0.33 USD,0.13 USD
2023-10,Shootout,8874.78 USD,3549.91 USD
2023-10,Shootout (8D Version),265.14 USD,106.06 USD
2023-10,Shootout (Slowed + Reverb),6769.05 USD,2707.62 USD
2023-10,Shootout (Sped Up),3439.99 USD,1376.00 USD
2023-10,Transcend,32.51 USD,13.00 USD
2023-10,Turanım,287.72 USD,115.09 USD
2023-10,Turanım (Slowed + Reverb),43.50 USD,17.40 USD
2023-10,Turanım (Sped Up),19.00 USD,7.60 USD
2023-10,Una Mattina,9.02 USD,3.61 USD
2023-10,snowfall,24.46 USD,9.78 USD
2023-11,American Beauty,22.66 USD,9.06 USD
2023-11,Je te laisserai des mots (Piano Cover),116.97 USD,46.79 USD
2023-11,Say Yes To Heaven x Shootout,890.06 USD,356.03 USD
2023-11,Say Yes To Heaven x Shootout (Slowed + Reverb),1116.31 USD,446.52 USD
2023-11,Say Yes To Heaven x Shootout (Sped Up),29.60 USD,11.84 USD
2023-11,September,9.12 USD,3.65 USD
2023-11,Shootout,11945.01 USD,4778.00 USD
2023-11,Shootout (8D Version),581.08 USD,232.43 USD
2023-11,Shootout (Slowed + Reverb),5806.11 USD,2322.44 USD
2023-11,Shootout (Sped Up),3418.01 USD,1367.20 USD
2023-11,Transcend,114.24 USD,45.70 USD
2023-11,Turanım,361.89 USD,144.76 USD
2023-11,Turanım (Slowed + Reverb),86.82 USD,34.73 USD
2023-11,Turanım (Sped Up),21.70 USD,8.68 USD
2023-11,Una Mattina,12.59 USD,5.03 USD
2023-11,snowfall,76.35 USD,30.54 USD
2023-12,American Beauty,20.30 USD,8.12 USD
2023-12,Je te laisserai des mots (Piano Cover),121.92 USD,48.77 USD
2023-12,Say Yes To Heaven x Shootout,972.83 USD,389.13 USD
2023-12,Say Yes To Heaven x Shootout (Slowed + Reverb),775.21 USD,310.08 USD
2023-12,Say Yes To Heaven x Shootout (Sped Up),32.43 USD,12.97 USD
2023-12,September,14.73 USD,5.89 USD
2023-12,Shootout,10283.01 USD,4113.21 USD
2023-12,Shootout (8D Version),381.15 USD,152.46 USD
2023-12,Shootout (Slowed + Reverb),5977.13 USD,2390.85 USD
2023-12,Shootout (Sped Up),3252.72 USD,1301.09 USD
2023-12,Transcend,85.41 USD,34.16 USD
2023-12,Turanım,305.19 USD,122.08 USD
2023-12,Turanım (Slowed + Reverb),87.83 USD,35.13 USD
2023-12,Turanım (Sped Up),38.83 USD,15.53 USD
2023-12,Una Mattina,12.84 USD,5.14 USD
2023-12,snowfall,59.24 USD,23.70 USD
2024-01,American Beauty,19.14 USD,7.66 USD
2024-01,Je te laisserai des mots (Piano Cover),133.97 USD,53.59 USD
2024-01,Say Yes To Heaven x Shootout,553.17 USD,221.27 USD
2024-01,Say Yes To Heaven x Shootout (Slowed + Reverb),425.21 USD,170.08 USD
2024-01,Say Yes To Heaven x Shootout (Sped Up),118.34 USD,47.33 USD
2024-01,September,0.31 USD,0.12 USD
2024-01,Shootout,8750.77 USD,3500.31 USD
2024-01,Shootout (8D Version),220.45 USD,88.18 USD
2024-01,Shootout (Slowed + Reverb),15271.57 USD,6108.63 USD
2024-01,Shootout (Sped Up),2754.02 USD,1101.61 USD
2024-01,Transcend,57.32 USD,22.93 USD
2024-01,Turanım,269.98 USD,107.99 USD
2024-01,Turanım (Slowed + Reverb),61.97 USD,24.79 USD
2024-01,Turanım (Sped Up),51.53 USD,20.61 USD
2024-01,Una Mattina,18.12 USD,7.25 USD
2024-01,Where Is My Mind?,0.01 USD,0.01 USD
2024-01,Where Is My Mind? (Slowed + Reverb),0.07 USD,0.03 USD
2024-01,snowfall,23.40 USD,9.36 USD
2024-02,,0.49 USD,0.20 USD
2024-02,American Beauty,40.85 USD,16.34 USD
2024-02,Je te laisserai des mots (Piano Cover),279.17 USD,111.67 USD
2024-02,Say Yes To Heaven x Shootout,582.45 USD,232.98 USD
2024-02,Say Yes To Heaven x Shootout (Slowed + Reverb),431.92 USD,172.77 USD
2024-02,Say Yes To Heaven x Shootout (Sped Up),74.41 USD,29.76 USD
2024-02,September,29.58 USD,11.83 USD
2024-02,Shootout,8295.58 USD,3318.23 USD
2024-02,Shootout (8D Version),520.52 USD,208.21 USD
2024-02,Shootout (Slowed + Reverb),8285.63 USD,3314.25 USD
2024-02,Shootout (Sped Up),4613.93 USD,1845.57 USD
2024-02,Transcend,202.25 USD,80.90 USD
2024-02,Turanım,324.41 USD,129.76 USD
2024-02,Turanım (Slowed + Reverb),95.32 USD,38.13 USD
2024-02,Turanım (Sped Up),34.83 USD,13.93 USD
2024-02,Una Mattina,23.23 USD,9.29 USD
2024-02,snowfall,139.24 USD,55.70 USD
2024-03,American Beauty,23.53 USD,9.41 USD
2024-03,Je te laisserai des mots (Piano Cover),167.34 USD,66.94 USD
2024-03,Say Yes To Heaven x Shootout,468.94 USD,187.58 USD
2024-03,Say Yes To Heaven x Shootout (Slowed + Reverb),361.38 USD,144.55 USD
2024-03,Say Yes To Heaven x Shootout (Sped Up),40.18 USD,16.07 USD
2024-03,September,16.36 USD,6.54 USD
2024-03,Shootout,8966.58 USD,3586.63 USD
2024-03,Shootout (8D Version),250.32 USD,100.13 USD
2024-03,Shootout (Slowed + Reverb),13595.17 USD,5438.07 USD
2024-03,Shootout (Sped Up),2783.59 USD,1113.44 USD
2024-03,Transcend,144.55 USD,57.82 USD
2024-03,Turanım,357.72 USD,143.09 USD
2024-03,Turanım (Slowed + Reverb),85.77 USD,34.31 USD
2024-03,Turanım (Sped Up),48.45 USD,19.38 USD
2024-03,Una Mattina,23.48 USD,9.39 USD
2024-03,Where Is My Mind?,26.40 USD,10.56 USD
2024-03,Where Is My Mind? (Slowed + Reverb),15.54 USD,6.22 USD
2024-03,snowfall,76.53 USD,30.61 USD
2024-04,American Beauty,17.08 USD,6.83 USD
2024-04,Je te laisserai des mots (Piano Cover),153.20 USD,61.28 USD
2024-04,Say Yes To Heaven x Shootout,402.49 USD,160.99 USD
2024-04,Say Yes To Heaven x Shootout (Slowed + Reverb),335.76 USD,134.30 USD
2024-04,Say Yes To Heaven x Shootout (Sped Up),21.74 USD,8.70 USD
2024-04,September,0.83 USD,0.33 USD
2024-04,Shootout,10093.58 USD,4037.43 USD
2024-04,Shootout (8D Version),146.79 USD,58.72 USD
2024-04,Shootout (Slowed + Reverb),8337.90 USD,3335.16 USD
2024-04,Shootout (Sped Up),2823.78 USD,1129.51 USD
2024-04,Transcend,246.49 USD,98.59 USD
2024-04,Turanım,326.20 USD,130.48 USD
2024-04,Turanım (Slowed + Reverb),70.15 USD,28.06 USD
2024-04,Turanım (Sped Up),33.70 USD,13.48 USD
2024-04,Una Mattina,20.23 USD,8.09 USD
2024-04,Where Is My Mind?,10.62 USD,4.25 USD
2024-04,Where Is My Mind? (Slowed + Reverb),13.14 USD,5.26 USD
2024-04,snowfall,19.15 USD,7.66 USD
2024-05,American Beauty,61.41 USD,24.56 USD
2024-05,Je te laisserai des mots (Piano Cover),181.45 USD,72.58 USD
2024-05,Say Yes To Heaven x Shootout,728.47 USD,291.39 USD
2024-05,Say Yes To Heaven x Shootout (Slowed + Reverb),341.31 USD,136.52 USD
2024-05,Say Yes To Heaven x Shootout (Sped Up),32.91 USD,13.16 USD
2024-05,September,29.52 USD,11.81 USD
2024-05,Shootout,9467.85 USD,3787.14 USD
2024-05,Shootout (8D Version),282.86 USD,113.14 USD
2024-05,Shootout (Slowed + Reverb),9129.91 USD,3651.96 USD
2024-05,Shootout (Sped Up),3221.07 USD,1288.43 USD
2024-05,Transcend,349.19 USD,139.68 USD
2024-05,Turanım,338.42 USD,135.37 USD
2024-05,Turanım (Slowed + Reverb),73.48 USD,29.39 USD
2024-05,Turanım (Sped Up),25.86 USD,10.34 USD
2024-05,Una Mattina,23.64 USD,9.46 USD
2024-05,Where Is My Mind?,78.66 USD,31.46 USD
2024-05,Where Is My Mind? (Slowed + Reverb),15.57 USD,6.23 USD
2024-05,snowfall,155.46 USD,62.18 USD
2024-06,American Beauty,44.82 USD,17.93 USD
2024-06,Je te laisserai des mots (Piano Cover),111.28 USD,44.51 USD
2024-06,Say Yes To Heaven x Shootout,503.29 USD,201.32 USD
2024-06,Say Yes To Heaven x Shootout (Slowed + Reverb),359.74 USD,143.89 USD
2024-06,Say Yes To Heaven x Shootout (Sped Up),22.56 USD,9.03 USD
2024-06,September,11.50 USD,4.60 USD
2024-06,Shootout,8279.32 USD,3311.73 USD
2024-06,Shootout (8D Version),211.27 USD,84.51 USD
2024-06,Shootout (Slowed + Reverb),6124.54 USD,2449.82 USD
2024-06,Shootout (Sped Up),3113.01 USD,1245.21 USD
2024-06,Transcend,1273.53 USD,509.41 USD
2024-06,Turanım,278.05 USD,111.22 USD
2024-06,Turanım (Slowed + Reverb),58.33 USD,23.33 USD
2024-06,Turanım (Sped Up),22.68 USD,9.07 USD
2024-06,Una Mattina,23.45 USD,9.38 USD
2024-06,Where Is My Mind?,45.79 USD,18.31 USD
2024-06,Where Is My Mind? (Slowed + Reverb),13.43 USD,5.37 USD
2024-06,snowfall,84.74 USD,33.89 USD
2024-07,,0.57 USD,0.23 USD
2024-07,American Beauty,28.95 USD,11.58 USD
2024-07,Je te laisserai des mots (Piano Cover),109.55 USD,43.82 USD
2024-07,Say Yes To Heaven x Shootout,448.34 USD,179.34 USD
2024-07,Say Yes To Heaven x Shootout (Slowed + Reverb),397.57 USD,159.03 USD
2024-07,Say Yes To Heaven x Shootout (Sped Up),23.28 USD,9.31 USD
2024-07,September,1.49 USD,0.60 USD
2024-07,Shootout,7381.01 USD,2952.40 USD
2024-07,Shootout (8D Version),139.87 USD,55.95 USD
2024-07,Shootout (Slowed + Reverb),5345.25 USD,2138.10 USD
2024-07,Shootout (Sped Up),6561.89 USD,2624.76 USD
2024-07,Transcend,3075.21 USD,1230.08 USD
2024-07,Turanım,267.22 USD,106.89 USD
2024-07,Turanım (Slowed + Reverb),49.31 USD,19.73 USD
2024-07,Turanım (Sped Up),20.23 USD,8.09 USD
2024-07,Una Mattina,38.59 USD,15.44 USD
2024-07,Where Is My Mind?,16.03 USD,6.41 USD
2024-07,Where Is My Mind? (Slowed + Reverb),20.69 USD,8.28 USD
2024-07,snowfall,37.53 USD,15.01 USD
2024-08,,0.21 USD,0.08 USD
2024-08,American Beauty,73.98 USD,29.59 USD
2024-08,Je te laisserai des mots (Piano Cover),159.85 USD,63.94 USD
2024-08,Say Yes To Heaven x Shootout,691.94 USD,276.78 USD
2024-08,Say Yes To Heaven x Shootout (Slowed + Reverb),390.65 USD,156.26 USD
2024-08,Say Yes To Heaven x Shootout (Sped Up),36.89 USD,14.76 USD
2024-08,September,32.46 USD,12.98 USD
2024-08,Shootout,6990.14 USD,2796.06 USD
2024-08,Shootout (8D Version),281.48 USD,112.59 USD
2024-08,Shootout (Slowed + Reverb),7568.93 USD,3027.57 USD
2024-08,Shootout (Sped Up),3184.48 USD,1273.79 USD
2024-08,Transcend,1866.79 USD,746.72 USD
2024-08,Turanım,306.90 USD,122.76 USD
2024-08,Turanım (Slowed + Reverb),59.20 USD,23.68 USD
2024-08,Turanım (Sped Up),24.31 USD,9.72 USD
2024-08,Una Mattina,43.41 USD,17.36 USD
2024-08,Where Is My Mind?,117.44 USD,46.98 USD
2024-08,Where Is My Mind? (Slowed + Reverb),20.83 USD,8.33 USD
2024-08,snowfall,159.95 USD,63.98 USD
2024-09,American Beauty,58.14 USD,23.26 USD
2024-09,Je te laisserai des mots (Piano Cover),445.41 USD,178.16 USD
2024-09,Say Yes To Heaven x Shootout,495.36 USD,198.15 USD
2024-09,Say Yes To Heaven x Shootout (Slowed + Reverb),344.52 USD,137.81 USD
2024-09,Say Yes To Heaven x Shootout (Sped Up),39.01 USD,15.60 USD
2024-09,September,13.26 USD,5.31 USD
2024-09,Shootout,5768.77 USD,2307.51 USD
2024-09,Shootout (8D Version),187.09 USD,74.83 USD
2024-09,Shootout (Slowed + Reverb),7863.89 USD,3145.56 USD
2024-09,Shootout (Sped Up),2291.65 USD,916.66 USD
2024-09,Transcend,1349.89 USD,539.95 USD
2024-09,Turanım,276.17 USD,110.47 USD
2024-09,Turanım (Slowed + Reverb),56.72 USD,22.69 USD
2024-09,Turanım (Sped Up),30.05 USD,12.02 USD
2024-09,Una Mattina,41.54 USD,16.62 USD
2024-09,Where Is My Mind?,79.71 USD,31.88 USD
2024-09,Where Is My Mind? (Slowed + Reverb),23.75 USD,9.50 USD
2024-09,snowfall,81.11 USD,32.44 USD
2024-10,American Beauty,75.25 USD,30.10 USD
2024-10,Je te laisserai des mots (Piano Cover),276.19 USD,110.48 USD
2024-10,Say Yes To Heaven x Shootout,412.01 USD,164.80 USD
2024-10,Say Yes To Heaven x Shootout (Slowed + Reverb),324.21 USD,129.68 USD
2024-10,Say Yes To Heaven x Shootout (Sped Up),32.36 USD,12.95 USD
2024-10,September,17.33 USD,6.93 USD
2024-10,Shootout,5194.18 USD,2077.67 USD
2024-10,Shootout (8D Version),242.90 USD,97.16 USD
2024-10,Shootout (Slowed + Reverb),4705.06 USD,1882.02 USD
2024-10,Shootout (Sped Up),1858.56 USD,743.42 USD
2024-10,Transcend,1386.34 USD,554.53 USD
2024-10,Turanım,292.20 USD,116.88 USD
2024-10,Turanım (Slowed + Reverb),70.39 USD,28.16 USD
2024-10,Turanım (Sped Up),35.99 USD,14.40 USD
2024-10,Una Mattina,61.88 USD,24.75 USD
2024-10,Where Is My Mind?,110.53 USD,44.21 USD
2024-10,Where Is My Mind? (Slowed + Reverb),26.74 USD,10.70 USD
2024-10,snowfall,92.94 USD,37.18 USD
2024-11,American Beauty,82.76 USD,33.11 USD
2024-11,Je te laisserai des mots (Piano Cover),202.72 USD,81.09 USD
2024-11,Say Yes To Heaven x Shootout,333.59 USD,133.44 USD
2024-11,Say Yes To Heaven x Shootout (Slowed + Reverb),300.08 USD,120.03 USD
2024-11,Say Yes To Heaven x Shootout (Sped Up),24.08 USD,9.63 USD
2024-11,September,13.78 USD,5.51 USD
2024-11,Shootout,4558.79 USD,1823.52 USD
2024-11,Shootout (8D Version),214.77 USD,85.91 USD
2024-11,Shootout (Slowed + Reverb),2851.42 USD,1140.57 USD
2024-11,Shootout (Sped Up),1464.02 USD,585.61 USD
2024-11,Transcend,999.58 USD,399.83 USD
2024-11,Turanım,205.57 USD,82.23 USD
2024-11,Turanım (Slowed + Reverb),53.71 USD,21.48 USD
2024-11,Turanım (Sped Up),27.59 USD,11.04 USD
2024-11,Una Mattina,62.84 USD,25.14 USD
2024-11,Where Is My Mind?,92.83 USD,37.13 USD
2024-11,Where Is My Mind? (Slowed + Reverb),31.30 USD,12.52 USD
2024-11,snowfall,73.50 USD,29.40 USD
2024-12,American Beauty,96.50 USD,38.60 USD
2024-12,Je te laisserai des mots (Piano Cover),220.46 USD,88.19 USD
2024-12,Say Yes To Heaven x Shootout,313.62 USD,125.45 USD
2024-12,Say Yes To Heaven x Shootout (Slowed + Reverb),247.08 USD,98.83 USD
2024-12,Say Yes To Heaven x Shootout (Sped Up),94.32 USD,37.73 USD
2024-12,September,14.24 USD,5.70 USD
2024-12,Shootout,3797.17 USD,1518.87 USD
2024-12,Shootout (8D Version),203.63 USD,81.45 USD
2024-12,Shootout (Slowed + Reverb),2185.11 USD,874.05 USD
2024-12,Shootout (Sped Up),1148.72 USD,459.49 USD
2024-12,Transcend,887.41 USD,354.97 USD
2024-12,Turanım,181.82 USD,72.73 USD
2024-12,Turanım (Slowed + Reverb),54.79 USD,21.92 USD
2024-12,Turanım (Sped Up),28.84 USD,11.54 USD
2024-12,Una Mattina,49.78 USD,19.91 USD
2024-12,Where Is My Mind?,88.87 USD,35.55 USD
2024-12,Where Is My Mind? (Slowed + Reverb),36.84 USD,14.74 USD
2024-12,snowfall,94.62 USD,37.85 USD
2025-01,American Beauty,89.75 USD,35.90 USD
2025-01,Je te laisserai des mots (Piano Cover),274.93 USD,109.97 USD
2025-01,Say Yes To Heaven x Shootout,254.08 USD,101.63 USD
2025-01,Say Yes To Heaven x Shootout (Slowed + Reverb),159.87 USD,63.95 USD
2025-01,Say Yes To Heaven x Shootout (Sped Up),31.73 USD,12.69 USD
2025-01,September,14.79 USD,5.91 USD
2025-01,Shootout,4389.29 USD,1755.72 USD
2025-01,Shootout (8D Version),239.94 USD,95.98 USD
2025-01,Shootout (Slowed + Reverb),1978.91 USD,791.56 USD
2025-01,Shootout (Sped Up),994.39 USD,397.76 USD
2025-01,Transcend,610.98 USD,244.39 USD
2025-01,Turanım,177.76 USD,71.10 USD
2025-01,Turanım (Slowed + Reverb),48.19 USD,19.28 USD
2025-01,Turanım (Sped Up),20.10 USD,8.04 USD
2025-01,Una Mattina,39.17 USD,15.67 USD
2025-01,Where Is My Mind?,147.79 USD,59.12 USD
2025-01,Where Is My Mind? (Slowed + Reverb),41.54 USD,16.62 USD
2025-01,snowfall,80.15 USD,32.06 USD
2025-02,American Beauty,49.76 USD,19.90 USD
2025-02,Je te laisserai des mots (Piano Cover),327.39 USD,130.96 USD
2025-02,Say Yes To Heaven x Shootout,211.65 USD,84.66 USD
2025-02,Say Yes To Heaven x Shootout (Slowed + Reverb),162.77 USD,65.11 USD
2025-02,Say Yes To Heaven x Shootout (Sped Up),20.94 USD,8.38 USD
2025-02,September,11.64 USD,4.66 USD
2025-02,Shootout,3072.02 USD,1228.81 USD
2025-02,Shootout (8D Version),194.22 USD,77.69 USD
2025-02,Shootout (Slowed + Reverb),1733.08 USD,693.23 USD
2025-02,Shootout (Sped Up),878.98 USD,351.59 USD
2025-02,Transcend,479.40 USD,191.76 USD
2025-02,Turanım,152.43 USD,60.97 USD
2025-02,Turanım (Slowed + Reverb),38.01 USD,15.20 USD
2025-02,Turanım (Sped Up),17.79 USD,7.12 USD
2025-02,Una Mattina,25.07 USD,10.03 USD
2025-02,Where Is My Mind?,109.74 USD,43.89 USD
2025-02,Where Is My Mind? (Slowed + Reverb),33.28 USD,13.31 USD
2025-02,snowfall,73.78 USD,29.51 USD
-------------------,-------------------,-------------------,-------------------
GROSS TOTAL,,665299.41 USD,266119.76 USD
